Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8800,"Wolfgang Hunger","Holger Jess",PYC,"DSQ 36",1,1,1,39,,1
GER,8619,"Jens Findel","Johannes Tellen",KYC,1,2,5,5,13,,2
GER,8550,"Tom Gosch","Jörg Müller",ENSFV,2,3,14,3,22,,3
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,"DSQ 36",8,2,2,48,,4
GER,8665,"Philipp Kadelbach","Martin Schöler",DSC,"DSQ 36",4,7,4,51,,5
GER,8632,"Gunter Peters","Klaus Stammerjohann",,"DSQ 36",5,4,6,51,,6
GER,8775,"Stefan Köchlin","Axel Priegann",SKF,"DSQ 36",6,6,7,55,,7
GER,8661,"Diethardt Freye","Michael Klügel",BSV,"DSQ 36",12,3,8,59,,8
GER,8669,"Tim Böger","Rolf Meyer",HSC,"DSQ 36",9,9,9,63,,9
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,"DSQ 36",15,8,14,73,,10
GER,8527,"Tim Steinert","Jens Steinert",ZSK,"DSQ 36",13,12,13,74,,11
GER,8749,"Stephan Krause","Michael Krause",HiSC,"DSQ 36",7,17,16,76,,12
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,"DSQ 36",20,11,11,78,,13
GER,8317,"Hartwig Friedrichs","Antje Gosch",WSCW,"DSQ 36",22,13,12,83,,14
GER,8563,"Klaus Heeschen","Stefan Schmidt",WSCW,"DSQ 36",17,15,15,83,,15
GER,8662,"Jan Stölken","Matthias Brühl",SCU,"DSQ 36",11,22,18,87,,16
DEN,8807,"Tom Bøjland","Jakob Karbo",Farum,"DSQ 36",10,10,"DNC 36",92,,17
GER,8465,"Petra Kliba-Schmidt","Jan-Rolf Schmidt",SKWB,"DSQ 36",18,19,19,92,,18
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,"DSQ 36",19,"DNC 36",10,101,,19
GER,8412,"Antje Paulsen","Björn Schaar",BSV,"DSQ 36",28,21,17,102,,20
GER,8065,"Jonas von Weidenberg","Stefan Lührs",SCE,"DSQ 36",30,23,20,109,,21
GER,8127,"Kristine König","Thilo König",BSV,"DSQ 36",23,18,"DNC 36",113,,22
GER,8297,"Steve Kwee","Thorsten Spötter",HSC,"DSQ 36",33,25,21,115,,23
GER,7991,"Henrik Heidorn","Hauke Sievers",SCE,"DSQ 36",26,20,"DNC 36",118,,24
GER,8466,"Ole Paulsen","Sven Friedrich",BSV,"DSQ 36",31,16,"DNF 36",119,,25
GER,8758,"Jürgen Hatje","Harald Schott",KYC,"DSQ 36",14,"DNC 36","DNC 36",122,,26
GER,8686,"Nicolai Völckner","Lars Dehne",HSC,"DNC 36",16,"DNC 36","DNC 36",124,,27
GER,8675,"Volker Görge","Marlies Endjer",TSVS,"DSQ 36",21,"DNC 36","DNC 36",129,,28
GER,7637,"Helmut Bruns","Michael Gogolok",OSG,"DSQ 36","DNF 36",24,"DNC 36",132,,29
GER,8478,"Kai-Uwe Weiss","Eric Wolf",HSV,"DSQ 36",24,"DNC 36","DNC 36",132,,30
GER,8373,"Georg Borkenstein","Eike Dietrich",WSCW,"DSQ 36",25,"DNC 36","DNC 36",133,,31
GER,8590,"Markus Conrad","Johannes Boy",SCNW,"DSQ 36",27,"DNC 36","DNC 36",135,,32
GER,7764,"Jan Sell","Wiebke Gewinn",TUSF,"DSQ 36",29,"DNC 36","DNC 36",137,,33
GER,8108,"Thorge Holm","Tobis Küter",BCN,"DSQ 36",32,"DNF 36","DNC 36",140,,34
GER,8470,"Bernd Lenz","Alexandra Lenz",SLRV,"DSQ 36",34,"DNC 36","DNC 36",142,,35
