Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8671,Joachim Hellmich,Rainer Görge,WYD,1,4,1,1,7,,1
GER,8751,Markus Mühlbauer,Andreas Achterberg,DTYC,3,2,2,4,11,,2
GER,8725,Michael Rössler,Rolf Meyer,SKMD,2,1,6,6,15,,3
GER,8567,Felix Ismar,Holger Neuhaus,WYD,DNF 15,3,4,3,25,,4
GER,8621,Stephan Schweiger,Johannes Schmederer,SCLW,6,10,3,2,21,,5
GER,8570,Till Supan,Gregor Dahlem,ETUF,5,7,7,5,24,,6
GER,8414,Stefan Worm,Mathias Kaiser,RYC,4,5,9,9,27,,7
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,8,8,10,7,33,,8
GER,8670,Sven Hollenbeck,Björn Hollenbeck,WYCD,7,6,11,11,35,,9
GER,8441,Rainer Gerdes,Stefan Giefers,SSCK,DNF 15,9,5,12,41,,10
GER,8433,Jürgen Anton,Jürgen Wasceszio,HSC,11,11,12,8,42,,11
GER,7801,Christiane Giefers,Jens Krause,SVPB,9,DNF 15,13,13,50,,12
GER,8671,Fritz Hollenbeck,Angela Stenger,WSC,DNC 15,DNC 15,8,10,48,,13
GER,8480,Andre Teutenberg,Sven Werenbrecht,YCWM,10,12,DNC 15,DNC 15,52,,14
