Nation,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Points,Place
CAN,8264,Jeff Boyd,Martin ten Hove,,1,[3],1,2,2,1,1,1,2,14,11,1
CAN,8260,Shona Lovshin-Moss,Stephen Lovshin,,4,4,[13],3,1,4,2,3,4,38,25,2
USA,8627,Tim Collins,Mills,,5,1,4,1,4,5,[7],5,7,39,32,3
USA,8722,Macy Nelson,Jesse Falsone,,3,2,[11],4,3,3,6,2,9,43,32,4
CAN,8238,François Bertrand,Alain Molimard,,2,6,5,5,6,[13],13,4,1,55,42,5
USA,8698,Chris Fowler,Andrew Fowler,,[8],5,7,8,5,2,4,7,5,51,43,6
CAN,8013,Brook Hamilton,Justin Kitney,,7,8,3,[12],7,7,9,6,10,69,57,7
USA,8012,Amthor,Battner,,6,11,8,7,8,8,[14],11,6,79,65,8
CAN,6910,John Bryant,Ron Hughes,,9,10,6,[15],15,9,3,9,12,88,73,9
USA,7068,Ted Ferrarone,J.B. Ferrarone,,[DNS 17],DNS 17,12,11,9,6,5,10,8,95,78,10
CAN,7796,Deborah Ashby,David Adams,,12,7,9,6,12,10,[16],14,11,97,81,11
USA,8194,Thomas Kivney,Hurwitch,,10,13,2,9,13,11,12,13,[15],98,83,12
USA,8624,Graham Alexander,David Stetson,,11,9,[16],13,10,12,11,8,14,104,88,13
CAN,7605,Renka Gesing,Adam Gesing,,14,14,10,14,11,[15],8,15,3,104,89,14
USA,7836,DeConto,Solomon Marini,,13,12,14,10,[16],14,10,12,13,114,98,15
USA,8778,Darryl Dietz,Thomas Hurwitch,,15,15,15,16,14,16,15,[DNS 17],DNS 17,140,123,16
