Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8633,Stefanie Wagner,Wolfgang Stückl,DTYC,2,2,1,1,6,,1
GER,8580,Markus Mühlbauer,Andreas Achterberg,DTYC,1,1,2,2,6,,2
GER,8642,Thoralf Greger,Alexander Krohmer,ASVG,3,3,4,4,14,,3
GER,8519,Robert Wisolek,Guido von Walter,SCLW,5,6,3,3,17,,4
GER,8691,Günther Böckle,Frank Heimburger,SSCM,4,4,5,9,22,,5
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,8,5,7,10,30,,6
GER,8570,Alexander Kodisch,Dominik Hafner,DTYC,11,8,6,6,31,,7
GER,8621,Stephan Schweiger,Nette Jansen,SCLW,14,7,9,5,35,,8
GER,7661,Christina Höll,Alexander Wilhelm,HSC,9,9,8,13,39,,9
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,6,10,11,11,38,,10
GER,7970,Nils Burghard,Rainer Schork,SCLW,12,11,10,7,40,,11
GER,7854,Timo Klapper,Christoph Demarczyk,SCLW,7,12,DNF 16,DNF 16,51,,12
GER,8105,Karsten Contag,Sonja Göggelmann,SCLW,13,13,DNF 16,12,54,,13
GER,8777,Benjamin Grosskurth,Francisco Sanguino,SCLW,DNF 16,DNC 16,DNC 16,8,56,,14
GER,8579,Peter Wackerbauer,Claudia Opitz,RSB,10,DNF 16,DNC 16,DNC 16,58,,15
