Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,1,1,1,1,4,,1
GER,8702,"Martin Handel","Eckhard Busch",SGK,3,3,2,4,12,,2
GER,8546,"Dirk Hänsgen","Frank Rupprich",SVPB,4,2,4,3,13,,3
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,6,7,5,10,28,,4
GER,8472,"Göran Berggren","Christina Berggren",SCLW,8,6,9,6,29,,5
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,13,9,6,2,30,,6
GER,8642,"Thoralf Greger","Christina Friedrich",ASVG,2,5,"DNC 20",8,35,,7
GER,8654,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,"DSQ 20",8,3,5,36,,8
GER,7801,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,5,11,10,11,37,,9
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,14,14,7,7,42,,10
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,12,12,15,9,48,,11
GER,7970,"Nils Burghard","Rainer Schork",SCLW,10,13,11,14,48,,12
GER,8562,"Wolfgang Seifert","Ines Berghof",SCLW,9,10,13,"DNC 20",52,,13
GER,8572,"Peter Heimbeck","Robert Wisolek",SCLW,"DNF 20",4,8,"DNF 20",52,,14
GER,8518,"Klaus Eifler","Michael Wetzl",SCLW,11,"DNF 20",12,12,55,,15
GER,8388,"Caroline Szesny","Peter Wolffram",FYC,7,15,14,"DNF 20",56,,16
GER,8658,"Hanno Stratmann","Fanni Stratmann",SCLW,16,"DNF 20","DNC 20",13,69,,17
GER,8204,"Guido von Walter","Wiebke Waldheim",SCLW,15,"DNF 20","DNF 20","DNF 20",75,,18
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,"DNC 20","DNC 20","DNC 20",15,75,,19
