GBR,Boat No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
GBR,8736,Ian Pinnell,Nick Powell,,1,18,1,1,1,4,1
GBR,8555,Dave Smithwhite,Neil Fulcher,,2,1,2,4,18,9,2
GBR,8556,Terry Scutcher,Richard Tew,,5,5,3,3,2,13,3
GBR,8432,Debbie Jarvis,Dan Johnson,,7,4,5,2,18,18,4
GBR,8460,Martin Goult,Gordon Russell,,8,7,6,5,6,24,5
GBR,8291,Richard Sims,Simon Wood,,3,10,4,12,9,26,6
GBR,8495,Dave Peacock,Chris Hewkin,,18,6,7,9,4,26,7
GBR,8419,Stuart Turnbull,Jason Lunn,,6,8,8,8,7,29,8
GBR,8705,Richard Lord,Simon Lake,,4,2,11,13,18,30,9
GBR,8493,Chris Dando,Donald Sloan,,9,9,9,7,8,33,10
GBR,8694,Andy Williams,Andy Edmonds,,18,3,13,14,5,35,11
GBR,8429,Rob Napier,Jonathan Rennie,,18,18,10,6,3,37,12
GBR,8483,Simon Siddenham,Matthew Brittin,,10,14,15,11,11,46,13
GBR,8745,Chris Pearson,Frank Rainsborough,,18,11,12,10,14,47,14
GBR,8467,Chris Romans,Brenda Romans,,11,12,17,16,12,51,15
GBR,8678,Jim Berry,David Banks,,18,13,14,15,13,55,16
GBR,8474,Chris Thorne,Andy Tyas,,18,18,16,17,10,61,17
