Country,Boat Number,Helm,Crew,Club,08-23/1,08-23/2,08-30/1,08-30/2,08-30/3,09-06/1,09-06/2,09-13/1,09-13/2,09-20/1,09-20/2,09-27/1,09-27/2,Points Total,Place
SWE,9002,Per Wester,Lars Wester,BKSS,2,3,2,6,2,3,3,DNC,DNC,4,4,2,2,33,1
SWE,9107,Fredrik Hansson,Sven Flood,LeSS/BKSS,6,4,5,4,1,4,1,6,6,3,2,3,4,37,2
SWE,9181,Malin Broberg,Johan Rook,BKSS,1,1,4,1,7,DNC,DNC,DNC,DNC,2,5,1,3,61,3
SWE,8859,Tomas Berg,Johan Barne,SS Kaparen,3,5,10,3,5,2,2,5,4,DNC,DNC,DNC,DNC,75,4
SWE,8962,Peter Bökmark,Martin Persson,BKSS,DNC,DNC,1,2,3,DNC,DNC,2,1,1,3,DNC,DNC,85,5
SWE,8651,Peter Andersson,Per-Eric Thörnström,BKSS,DNF,6,3,5,9,1,5,4,5,DNC,DNC,DNC,DNC,87,6
SWE,9038,Mikael Gustafsson,Tore Reinhold,BKSS,5,2,DNC,DNC,DNC,DNC,DNC,1,2,DNC,DNC,5,1,106,7
SWE,8787,Anders Johansson,Anders Barne,BKSS/SSVA,DNF,8,DNS,DNS,6,5,4,3,7,DNC,DNC,DNC,DNC,110,8
FRA,9014,Alain Dupuis,Patric Wollmersson,BKSS,8,10,6,9,4,DNC,DNC,DNC,DNC,DNC,DNC,4,DNF,119,9
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,7,DNF,DNC,DNC,DNC,DNC,DNC,DNF,3,5,1,DNC,DNC,129,10
SWE,8945,Tord Lawner,Tomas Gustafsson,BKSS,10,9,8,7,12,DNC,DNC,DNC,DNC,6,6,DNC,DNC,130,11
SWE,8632,Mats Lindgren,Rasmus Tengblad,BKSS,9,11,9,10,11,6,6,DNC,DNC,DNC,DNC,DNC,DNC,134,12
SWE,8585,Magnus Lundgren,Urban Lagneus,SSVA,4,7,12,DNS,10,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,155,13
SWE,8054,Jonas Wising Wising,Linnea Wising,BKSS,DNC,DNC,DNF,DNS,DNS,DNC,DNC,7,9,DNC,DNC,DNC,DNC,166,14
GER,8798,Mathias Konrad-Schmolke,Oskar Konrad-Schmolke,Ka R,DNC,DNC,11,11,DNS,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,166,15
SWE,8974,Thomas Widstrand,Sten Wallin,GKSS,DNC,DNC,7,8,8,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,167,16
SWE,7471,Anna-Karin Hellstrem,Theresa Granerus,KKKK,DNC,DNC,DNC,DNC,DNC,DNC,DNC,8,8,DNC,DNC,DNC,DNC,178,17
