,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,9040,Meike Schomäker,Holger Jess,ZSK,1,1,1,1,,1
GER,8875,Jens Findel,Johannes Tellen,KYC,3,4,2,2,,2
GER,8992,Claas Lehmann,Leon Oehme,NRV,2,3,3,3,,3
GER,8669,Florian Kemper,Michael Krause,NRV,4,2,5,4,,4
GER,8825,Michael Troch,Eckart König,SGJ,8,5,4,11,,5
GER,8608,Bernd Rasenack,Axel Priegann,ZSK,5,6,6,8,,6
GER,8741,Jürgen Anton,Ulf Denecke,HSC,6,10,9,6,,7
GER,8480,Marc Köster,Christoph Köster,BSV-AT,7,7,7,7,,8
GER,8657,Georg Neulen,Peter Gerdts,WYCA,10,11,10,5,,9
GER,8843,Nicolai Völckner,Lars Dehne,HSC,13,8,8,12,,10
GER,8744,Lutz Kandzia,Armin Splisteaser,ASV,9,12,11,18,,11
GER,8966,Walter Steding,Hans-Werner Steding,HSC,12,15,12,9,,12
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,11,9,16,19,,13
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,15,13,21,10,,14
GER,8528,Andre Tirre,Frank Wille,YCS,17,17,13,15,,15
GER,7861,Katharina Menge,Henning Ries,OSG,14,18,18,14,,16
GER,8297,Mario Tirre,Henry Stoffers,SCZ,19,14,14,20,,17
GER,8730,Iris Anton,Birgit Hartmann,HSC,18,16,15,17,,18
GER,8991,Michael Köritz,Lars Schmietenknop,USCO,20,21,DNF,13,,19
GER,8664,Nicholas Melzwig,Alexander Hoesen,LRV,21,22,17,16,,20
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,16,20,19,DNC,,21
GER,8662,Jan Stölken,Anna Stölken,SCU,22,19,20,23,,22
GER,7674,Torben Koch,Eric Bellstedt,SVSS,23,23,22,21,,23
GER,7035,Christina Burger,Alena-Larissa Wilkens,SVO,25,25,DNF,22,,24
GER,8469,Hansjörg Ehlers,Peter Famulla,ZSK,DNF,24,23,DNC,,25
GER,8991,Horst Sjuts,Gernot Koch,SVSS,24,DNF,DNF,DNF,,26
