,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,,,,,,1
GER,8562,Thomas Holik,Fabian Martyson,SGR,,,,,,2
GER,8903,Thorsten Koch,Toni Mangold,SCLW,,,,,,3
GER,0,Jürgen Geiger,Tobias Ahlert,,,,,,,4
GER,8697,Wilfried Stuis,Alexander von Mertens,YCN,,,,,,5
GER,0,Hans Hessel,Max Hessel,,,,,,,6
GER,7921,Jochen Heydolph,Eckhard Busch,SCLW,,,,,,7
GER,8590,Jürgen Ziegler,Markus Pecher,SCLW,,,,,,8
GER,0,Kathrin Müller-Stoy,Felix Müller-Stoy,SCLW,,,,,,9
GER,7275,Dirk Hütten,Stefan Buschhitter,,,,,,,10
