Country,Sail No,Helm,Crew,,R1,R2,R3,R4,Pts,Pos
GBR,8935,Russell Short,Andrew Short,,1,-3,1,1,3,1
GBR,9012,Andy Smith,Tim Needham,,2,1,-4,2,5,2
GBR,9039,Tim Bird,Richard Nurse,,-5,5,3,3,11,3
GBR,8835,Charlie Walters,Norman Byrd,,-6,4,2,6,12,4
GBR,8881,Roger Deane,Dave Turner,,-7,7,6,4,17,5
GBR,9032,Ian Pinnell,A Thompson,,3,2,(DNC),DNC,21,6
GBR,8906,Harry Briddon,Simon Briddon,,4,6,(DNC),DNC,26,7
GBR,8206,Jez White,,,9,-10,8,9,26,8
GBR,8419,Pete Mallaband,Darrel Samanjoul,,10,(DNF),9,8,27,9
GBR,8945,Neil Rabbits,Adam Kenny,,(DNC),DNC,7,5,28,10
GBR,8905,Stuart Turnbull,Jason Lunn,,(DNC),DNC,5,7,28,11
GBR,8860,Bobbie Johnson,Tony Merry,,8,8,(DNC),DNC,32,12
GBR,8526,Olly Hopkins,Russ Hopkins,,11,11,10,(DNF),32,13
GBR,8457,John Wilson,Adrian Howe,,-13,12,11,10,33,14
GBR,8423,Martin Wright,Mrs Wright,,12,9,(DNC),DNC,37,15
