Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8928,"Hendrik Schultz","Ute Oberländer",SCLW,1,4,3,1,9,,1
GER,8672,"Karsten Contag","Guido von Walter",SCLW,2,1,2,8,13,,2
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,3,2,1,5,11,,3
GER,8903,"Stephan Schweiger","Thorsten Koch",SCLW,"BFD 21",3,4,4,32,,4
GER,8642,"Thoralf Greger","Christoph Klein",ASVG,4,5,5,7,21,,5
GER,8670,"Gerhard Engel","Renita Engel",YCSB,6,9,6,3,24,,6
GER,8579,"Hans-Jürgen Rentelmann","Peter Wackerbauer",BSC,8,7,8,6,29,,7
GER,8702,"Martin Handel","Albrecht Maisch",SGK,14,10,11,2,37,,8
GER,8861,"Hans-Otto Frisch","Jochen Heydolph",SCLW,10,6,7,10,33,,9
GER,8507,"Christina Höll","Alexander Wilhelm",HSC,7,12,10,9,38,,10
GER,8518,"Klaus Eifler","Thomas Thym",SCLW,5,14,12,12,43,,11
GER,8663,"Benjamin Grosskurth","Johannes Schmederer",SCLW,9,11,9,11,40,,12
GER,8388,"Peter Wolffram","Michael Denner",,12,16,14,13,55,,13
GER,8598,"Katinka Haslinger","Udo Wilters",MRSV,17,8,19,19,63,,14
GER,8697,"Wilfried Stuis","Thomas Wilke",YCN,13,17,16,15,61,,15
GER,8777,"Melanie Tschiche","Francisco Sanguino",SCHC,16,15,13,16,60,,16
GER,7978,"Alexandra Wahler","Michael Kramer",,11,19,17,17,64,,17
GER,8527,"Hartmut Weiß","Volker Weiß",SCLW,"BFD 21",13,15,18,67,,18
GER,8531,"Benedikt Schulte","Oliver Hahne",BMSC,15,18,18,14,65,,19
GER,7661,"Jürgen Ziegler","Matthias Pfister",SCLW,18,20,"DNF 21","DNC 21",80,,20
