Nation,Sail No.,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Pos.
GBR,7589,Peter Colclough,Harold Barnes,,1,-3,1,1,1,1,4,1
SWE,7591,Ebbe Rosen,Olie Wenrup,,2,2,-7,2,2,2,10,2
GBR,7718,Phillip Milanes,John Labett,,-9,1,2,4,4,4,15,3
GBR,7716,Peter White,Bev Moss,,4,4,191,3,3,3,17,4
GBR,7664,Clive Robinson,Malcolm Swallow,,8,5,6,11,6,-19,36,5
GBR,7669,Chris Lewis,Andy Gray,,6,10,14,7,-16,6,43,6
GBR,7677,Martin Jones,Colin Turner,,11,7,4,16,(DIS),9,47,7
GBR,7667,Dave White,Adam Bowers,,5,17,18,-24,10,8,58,8
GBR,7189,Rob Napier,Matthew McCloughlin,,18,24,13,5,9,(RET),69,9
GBR,7547,Andy Gilmour,Nigel Squirrell,,21,-30,17,10,8,14,70,10
GBR,7666,Mike Lawton,Ian Godfrey,,-39,6,8,29,12,17,72,11
GBR,7643,Nicholas Smith,Barry Smith,,13,-23,19,19,11,15,77,12
GBR,6933,Ossie Stewart,Bill Masterman,,9,8,5,31,7,(RET),80,13
GBR,7323,John Showell,Chris Dawson,,10,15,20,22,15,-33,82,14
GBR,7656,John Kobylanski,Peter Greenwood,,12,9,10,35,18,(DIS),84,15
GBR,5731,Malcolm Goodwin,Julian Lord,,16,19,-33,26,13,10,84,16
GBR,7649,Neil Thomas,Damien Chisholm,,19,(RET),3,8,25,35,90,17
GBR,7624,Colin Fry,John Woodhouse,,33,(RET),11,14,23,12,93,18
GBR,7580,Mike Platts,Steve Cook,,27,18,-35,13,28,11,97,19
GBR,7556,N. Willmott,Paul Willmott,,25,12,32,15,-36,13,97,20
GBR,7654,Peter Kyne,Nigel Theodon,,22,14,26,34,-40,7,103,21
GBR,7706,David Revill,Nigel Brackenbury,,(DNS),13,25,18,20,27,103,22
GBR,7308,Mike Hutchins,Lucas Boissevain,,3,28,30,27,(RET),20,108,23
GBR,7579,S. Lambourne,Ivan Sharpe,,15,32,16,12,35,-36,110,24
GBR,7653,Barry Middleditch,Peter Coit,,-26,20,23,25,24,18,110,25
GBR,7638,Richard Lord,Les Rant,,14,33,12,-37,31,21,111,26
GBR,7680,John McLaren,Jack Edwards,,38,21,15,(RET),29,16,119,27
GBR,7399,Steve France,Martin Makey,,31,27,27,23,17,(RET),125,28
GBR,7668,Chris Stodel,Andrew Stodel,,7,25,40,33,-44,24,129,29
GBR,7676,Mark Wincer,David Bayfield,,43,-52,28,6,33,22,132,30
GBR,7701,Mark Elkington,Simon Briddon,,(DIS),22,21,RET,5,5,134,31
GBR,7553,Stephen Tew,Brian Lomas,,17,-38,37,32,26,23,135,32
GBR,7719,Mike Arnold,John Davis,,30,29,34,(RET),22,29,144,33
GBR,7345,Chris Timmins,Ian Munro,,32,43,-49,17,30,25,147,34
GBR,7566,G. F. Kinmonth,Ken Norris,,23,16,24,42,43,(RET),148,35
GBR,7541,David Wood,Chris Day,,42,47,-51,21,21,37,168,36
GBR,7675,Ben Tucker,Phil Cotton,,24,11,22,(RET),32,(RET),170,37
GBR,7567,Jim Berry,Don Whyte,,36,35,-55,36,38,32,177,38
GBR,7170,Stephen Cottrell,Roger Cooper,,20,36,(RET),41,47,34,178,39
GBR,7585,N. A. Summers,N. Burt,,35,39,36,20,50,(RET),180,40
GBR,7552,Jonathan Hughes,Charles Daynes,,-54,31,43,38,46,28,186,41
GBR,7588,Peter Fordham,Martin Longstaff,,-40,40,31,39,39,38,187,42
GBR,7665,Robin Whittle,Nigel Annereau,,-49,42,48,44,37,30,201,43
GBR,7378,Dave Sherwin,Peter Sherwin,,46,41,29,(RET),14,RET,211,44
GBR,7652,W. E. Price,Pete Hallinan,,51,34,42,46,-52,39,212,45
GBR,7651,Martin Makinson,Gerry Bullard,,44,(RET),44,53,34,41,216,46
GBR,7504,Ian Andrew,Geoff Holden,,28,(RET),RET,9,19,RET,219,47
GBR,7713,Graham Bullimore,David Gibbons,,58,45,39,(RET),42,40,224,48
GBR,7546,David Rose,Nigel Bultitude,,41,37,38,(DIS),RET,26,225,49
GBR,7328,Chris Thorne,Mark Owen,,-57,49,54,40,41,44,228,50
GBR,6881,Martin Oliver,Barry Evans,,52,51,53,30,-59,52,238,51
GBR,7497,Steve Arkley,Dick Vivers,,50,56,-61,45,45,47,243,52
GBR,7518,P. M. Andreae,K. Twin,,55,48,45,(RET),54,45,247,53
GBR,6688,Martin Hunt,Stephen Hunt,,-60,57,50,43,60,42,252,54
GBR,7227,Mike Brooks,Tim Brooks,,62,46,46,54,48,(RET),256,55
GBR,7662,Roger Deane,Tim Williams,,47,26,47,(RET),57,RET,258,56
GBR,7614,Keith Pitts,John Hopley,,45,44,41,(RET),49,RET,260,57
GBR,7692,Stephen Northeast,Paul Hope,,37,66,RET,55,(RET),31,271,58
GBR,7450,R. P. Wilson,G. P. Unwin,,53,60,63,48,51,(RET),275,59
GBR,7239,James Green,Richard Allen,,48,(RET),64,60,53,53,278,60
GBR,7307,Paul Aldridge,Bruce Finlayson,,59,54,59,(RET),62,46,280,61
GBR,6848,Richard Oswald,Malcolm Foster,,56,61,60,47,58,(RET),282,62
GBR,7502,Dave Parker,A. Gibson,,61,53,57,51,69,(RET),291,63
GBR,7310,Andrew Fitzgerald,John Oliver,,-65,62,65,61,55,50,293,64
GBR,7714,J. E. Button,J. Pipe,,(RET),59,72,28,56,RET,296,65
GBR,6675,Stewart Goodman,John Ironmonger,,69,55,62,49,66,(RET),301,66
GBR,6857,T. J. Twells,Geof Dufton-Kelly,,-76,64,66,62,67,43,302,67
GBR,7474,Robin Moss,Andrew Wood,,71,63,-73,56,63,54,307,68
GBR,6107,David Bell,Peter Ward,,66,70,-71,58,64,57,315,69
GBR,7369,G. Hacon,J. Pusey,,-75,67,74,50,72,55,318,70
GBR,7272,Kim Gavin,Colin Chamberlain,,DNS,50,RET,(DIS),27,RET,324,71
GBR,6066,Michael Oldroyd,Mark Oldroyd,,(RET),65,RET,59,74,48,328,72
GBR,6192,Pragnell,Butler,,73,68,(RET),63,75,51,330,73
GBR,7158,Peter Chilcott,Rupert Smith,,(DIS),RET,69,57,RET,49,340,74
GBR,7376,Nick Faulkener,David Gale,,63,69,56,(DNS),70,DNS,342,75
GBR,7425,Roger Sutcliffe,Robert Wilkes,,64,RET,52,RET,65,(DNS),344,76
GBR,4788,S. Redfern,M. Macalpine Downie,,68,58,58,RET,(DIS),RET,346,77
GBR,6121,Robert Peak,Alan Hughes,,74,(RET),70,RET,71,56,352,78
GBR,6357,Chris Newman,Paul Bowmer,,67,RET,67,(DNS),61,RET,358,79
GBR,7412,John Howlett,Ian Jewry,,70,RET,RET,52,(RET),RET,367,80
GBR,7700,Vernon Ralston,Peter Sidall,,34,(DNS),DNS,DNS,DNS,DNS,370,81
GBR,7696,A. Draper,Colin Bentley,,72,(DNS),DNS,64,73,RET,374,82
GBR,6096,Roger Sims,John Arnell,,RET,71,75,65,(RET),RET,374,83
GBR,7554,Clive Joyce,Craig Evans,,77,(RET),68,RET,68,RET,375,84
