Nation,Segel-Nr.,Steuermann/-frau,Vorschoter/-in,Club/Land,Läufe 1,Läufe 2,Läufe 3,Läufe 4,Points,Netto,Platz
GER,8651,Jockel Oetken,Stephan Oetken,FYC,3*,1,1,3,8,5,1
GER,8376,Volker Niedik,J. Krüger,BSV,2,5*,2,2,11,6,2
GER,8550,Dietrich Scheder-Bieschin,Johann Arvedson,NRV,7,2,8*,1,18,10,3
GER,8656,Roger Rachuba,André Müller,SCSt,1,3,7,9*,20,11,4
GER,8661,Diethardt Freye,Cord-Henrich Lefhalm,SVSS,4,4,10*,4,22,12,5
GER,8634,Jörg Thumann,Franco Weichel,TuSJ,5,9,3,25 DNC*,42,17,6
GER,8608,Bernd Rasenack,Carl Riebe,ZSK,8,6,4,10*,28,18,7
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,12*,8,5,6,31,19,8
GER,8385,Martin Bernauer,Ulf Geißler,CNFT,9*,7,6,8,30,21,9
GER,8517,Felix Ismar,Arnd Howar,WYD,10,10,14*,7,41,27,10
GER,8665,Nicolai Völckner,Lars Dehne,HSC,11,12,21*,5,49,28,11
GER,8567,Jörg Detmold,Holger Neuhaus,SCH,6,16*,11,11,44,28,12
GER,8607,Bernd Kowalzig,Ulrich Ellerbeck,SCB,16*,11,9,16,52,36,13
GER,8468,Ulrich Müller-Menzel,Michael Kieselow,WSRM,17*,15,13,14,59,42,14
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,13,18*,12,18,61,43,15
GER,8466,Jan Bakker,Jens Steinert,ZSK,20*,14,18,12,64,44,16
GER,8465,Jens Hufnagel,Alexander Kirchmann,SCStM,15,13,16,17*,61,44,17
GER,8225,Tim Steinert,Birgit Deters,HSK,18,20*,19,13,70,50,18
GER,7035,Michael Köritz,Carsten Zippel,SVO,14,17,20*,19,70,50,19
GER,8187,Barbara Jesse,Heino Sahling,WSCH,21,25 OCS*,17,15,78,53,20
GER,8421,Christoph Blecken,Ole Paulsen,BSV,22,19,15,25 DNC*,81,56,21
GER,8412,Antje Paulsen,Björn Schaar,BSV,19,21,22*,21,83,61,22
GER,7584,Mark Felling,Eberhard Schockenhoff,WSCKM,24*,22,23,20,89,65,23
GER,7757,N. Lange,J. Kurlbaum,SCH,23,25 DNC*,24,22,94,69,24
