,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertunge 1,Laufwertunge 2,Laufwertunge 3,Laufwertunge 4,Punkte,Punkte,Platz 
GER,8563,Mathias Jetschke,Holger Jess,WSCW,1*,1,1,1,4,3,1
GER,8471,Klaus Stammerjohann,Hauke Drengenberg,WSCW,16*,3,2,3,24,8,2
GER,8376,Volker Niedik,Stefan Heising,BSV,5,6*,3,4,18,12,3
GER,8657,Martin Görge,Lars Stöckmann,TSVS,2,2,9*,9,22,13,4
GER,8500,Jörg Häger,Thorsten Drewes,SCB,13*,4,5,5,27,14,5
GER,8465,Jens Hufnagel,Jens Pohl,SCStM,8,10*,8,2,28,18,6
GER,8259,Uwe Knop,Ricarda Wolf,WSC,4,12*,6,10,32,20,7
GER,8609,Christian Müllejans,Carsten Engel,SVWu,3,8,29*,11,51,22,8
GER,8334,Klaus Duncker,Sönke Reibisch,WSCW,6,37 DSQ*,10,6,59,22,9
GER,8599,Jens Knop,Dirk Kaiser,WSC,7,5,11,13*,36,23,10
GER,8539,Oliver Ziems,Ute Ziems,RoYC,9,14*,7,8,38,24,11
GER,8634,Jörg Thumann,Franco Weichel,TuSJ,19*,13,4,12,48,29,12
GER,8365,Carsten Kraus,Norbert Lins,TSVS,12,7,13*,7,39,26,13
GER,8662,Jan Stölken,Matthias Brühl,SCU,11,9,20*,14,54,34,14
GER,8531,Jürgen Hatje,Ole Günther,SYC,15,11,12,37 DNC*,75,38,15
GER,8507,Armin Eismann,Tino Käcks,SCA,14,19*,15,16,64,45,16
GER,8256,Stefan Lange,Klaus Heeschen,WSCW,18,21*,14,20,73,52,17
GER,8468,Ulrich Müller-Menzel,Michael Kieselow,WSRM,24*,16,17,20,77,53,18
GER,8256,Dirk Kindler,Eike Dietrich,WSCW,21,18,26*,15,80,54,19
GER,8575,Klaus Rieck,Sven Friederich,BSV,25*,15,24,21,85,60,20
GER,8373,Siegfried Labenz,Christian Labenz,SVWu,23*,22,16,22,83,60,21
GER,8414,Stefan Worm,Mathias Kaiser,SCR,26,17,18,37 DNF*,98,61,22
GER,580*,Jobst von Werder,Ingo Gericke,Toe,22,24*,21,18,85,61,23
GER,8222,Christian Koch,Justus Rauno,KYC,27*,20,22,19,88,61,24
GER,8478,Volker Görge,Marlies Endjer,TSVS,20,23,19,37 DNC*,99,62,25
GER,8412,Antje Paulsen,Björn Schaar,BSV,19,25,27*,25,96,69,26
GER,8424,Peter Gerdts,Karsten Lahrs,SVC,17,33,25,37 DNF*,112,75,27
GER,8421,Christoff Blecken,Hannes Becker,BSV,28,26,33*,26,113,80,28
GER,8225,Jens Steinert,Birgit Deters,YCZ,30,31,23,37 DNC*,121,84,29
GER,8047,Grietje Therkorn,Dagmar Jans,SVK,29,27,30,37 DNC*,123,86,30
GER,7856,Kai-Uwe Weiss,Eric Wolf, ,32*,29,31,27,119,87,31
GER,8390,Olaf Reckers,Bodo Schorn,HiSC,37 DNC*,37 DNF,28,23,125,88,32
GER,8166,Roland Boetcher,Gabi Boetcher,SVGA,33,32,35*,28,128,93,33
GER,8387,Ole Paulsen,Ulli Riegger,BSV,37 DNC*,37 DNC,34,24,148,95,34
GER,7923,Jan Schulte-Rhade,Norman Hüper,SVK,37 DNC*,28,32,37 DNC,134,97,35
GER,7443,Kai Blekker,Ulf Gosejacob,BCN,31,30,37 DNC*,37 DNC,135,98,36
