Land,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club,Laufwertungen ,Punkte,Platze
GER,8519,Robert Wisolek,Christian Schuster,SVM,1,1,1
GER,8633,Frieder Achterberg,Andreas Achterberg,DTYC,2,2,2
GER,8633,Jens Hartwig,Wolfi Stückl,PYC,3,3,3
GER,8562,Wolfgang Seifert,Christian Voggeser,SGR,4,4,4
GER,8386,Jochen Heydolph,Oliver Paulzen,SCW,5,5,5
GER,8572,Achim Funk,Thomas Löwen,SCLW,6,6,6
GER,8472,Kai Löblein,Roland Wiedemann,DTYC,7,7,7
GER,8005,Detlef Stock,Jürgen Puschmann,SGW,8,8,8
GER,8518,Klaus Eifler,Nils Burghard,SCLW,9,9,9
GER,7891,Ulli Stegbauer,Robert Plecher,HSC,10,10,10
GER,8574,Christian Meissner,Jörn Leuckel,YCSS,11,11,11
GER,7908,Uwe Hoffmann,Verena Hoffmann,WSVR,12,12,12
GER,8413,Martin Eckel,Claus Eckel,HSC,13,13,13
GER,7768,Christina Friedrich,Thorsten Koch,DHH,14,14,14
GER,8530,Alexander von Mertens,Christian Dörr,STSC,15,15,15
GER,8204,Aenne Barnard,Dieter Barnard,DTYC,16,16,16
GER,8098,Albrecht Maisch,Frank Letsche,SGK,17,17,17
