Nation,Sail #,Skipper,,Club,R 1,R 2,R 3,R 4,R 5,Points,Boat Name,Total,Place
USA,8815,Dalton Bergan,,CYC,1,2,1,1,4,9, ,9,1
USA,8823,Mats Elf,,CYC,2,1,2,2,2,9,Good Times:-),9,2
USA,88*,Andrew Lowe,,WINSA,3,3,3,3,1,13,Red Boat,13,3
USA,8616,Lee Laney,,BYC,4,4.0 DNF,5.0 DNC,4,3,20,Miami Vice,20,4
USA,7610,Chris Hubbard,,CYC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,5,27,Bugbear,27,5
USA,7153,Colin Dunphy,,CYC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,Crunchy Vegetables,29,6
USA,8429,Chris Pittack,,CYC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,Adios Pantelones,29,6
USA,8438,Ashley Nelson,, ,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,Full Nelson,29,6
USA,8631,Tom Crawford,,CYC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,FBIncoginito,29,6
USA,8829,Miles Johannessen,,Port Townsend YC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29, ,29,6
USA,6991,Courtney Starks,,Port Townsend SA,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,Zaya,29,6
USA,7095,Stasi Burzycki,,PMYC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,Rigel,29,6
USA,7039,Bob Conrad,,CYC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,Dog Lips,29,6
USA,8792,Carol Buchan,,CYC,6.0 DNC,5.0 DNC,5.0 DNC,6.0 DNC,7.0 DNC,29,Yellow Jacket,29,6
