,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8849,Moritz Bohnenberger,Max Mäge,DTYC,1,1,1,3,,1
GER,8530,Alexander von Mertens,Michael Karl,StSC,5,3,6,1,,2
GER,8658,Christina Höll,Alexander Wilhelm,HSC,4,5,4,2,,3
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,3,4,3,5,,4
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,2,2,8,9,,5
GER,8098,Albrecht Maisch,Frank Letsche,SGK,6,8,2,6,,6
GER,8697,Wilfried Stuis,Pia Matscheroth-Brodwurm,YCN,8,9,9,4,,7
GER,9021,Georg Geyer,Claudia Conrads,,7,7,11,7,,8
GER,8124,Fabian Kohl,Juliane Kohl,WWSC 70,9,10,5,8,,9
GER,8388,Peter Wolffram,Jochen Heydolph,,11,6,7,10,,10
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,10,11,10,11,,11
