,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8657,Georg Neulen,Peter Gerdts,WYCA,1,5,3,2,,1
GER,8608,Bernd Rasenack,Lars Dehne,ZSK,15,1,1,4,,2
GER,8825,Michael Troch,Eckart König,SGJ,2,2,2,8,,3
GER,8744,Lutz Kandzia,Martin Deutscher,ASV,4,8,6,2,,4
GER,8741,Jürgen Anton,Ulf Denecke,HSC,3,3,7,6,,5
GER,8480,Marc Köster,Christoph Köster,BSV-AT,9,12,5,3,,6
GER,8619,Steve Kwee,John Christiansen,HSC,5,10,4,15,,7
GER,8862,Dirk Hänsgen,Frank Rupprich,SVPB,11,6,8,7,,8
GER,8991,Michael Köritz,Christina Burger,USCO,10,4,9,12,,9
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,7,7,10,16,,10
GER,8513,Sven Dömges,Andreas Happich,ESV86,6,9,12,10,,11
GER,8528,Andre Tirre,Frank Wille,YCS,12,13,13,5,,12
GER,8500,Christian Henge,Matthias Fedde,OSG,13,11,11,9,,13
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,8,DNC,DNF,11,,14
GER,8297,Mario Tirre,Henry Stoffers,SCZ,14,15,16,13,,15
GER,8730,Iris Anton,Birgit Hartmann,HSC,16,14,14,14,,16
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,17,16,15,DNF,,17
GER,8469,Hansjörg Ehlers,Peter Famulla,ZSK,DNF,17,17,DNF,,18
