,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8992,Claas Lehmann,Leon Oehme,NRV,1,3,1,3,,1
GER,8874,Nørbert Dasenbrook,Sven Meier,KSW,4,2,5,1,,2
GER,8989,Andreas Jungclaus,Axel Priegann,HSC,3,4,2,6,,3
GER,8657,Georg Neulen,Peter Gerdts,WYCA,5,6,3,2,,4
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,DNC,5,4,5,,5
GER,8433,Jürgen Anton,Ulf Denecke,HSC,10,9,5,4,,6
GER,8875,Jens Findel,Niels Kapeller,KYC,2,1,DNF,DNC,,7
GER,8862,Dirk Hänsgen,Frank Rupprich,SVPB,6,12,9,8,,8
GER,8418,Hartmut Weiß,Volker Weiß,SCLW,8,11,6,10,,9
GER,8528,Andre Tirre,Frank Wille,YCS,7,7,11,13,,10
GER,8297,Mario Tirre,Henry Stoffers,SCZ,9,8,10,11,,11
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,11,10,7,DNC,,12
GER,8049,Matthias Tellen,Moritz Lüther,RSC,13,DNF,12,9,,13
GER,7035,Michael Köritz,Christina Burger,USCO,12,DNF,DNF,7,,14
GER,6817,Ralf Schneidewind,Uta Pohland,KSC,DNC,DNF,DNF,12,,15
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,DNC,DNF,DNF,14,,16
GER,9000,Enno Wilts,Jan Wiechmann,SVBB,DNC,DNF,DNF,15,,17
