,,coureurs / équipage,,club,,,points,place
,,BOITE PHILIPPE,TOUPET FABRICE,C V DE MEAUX,,,4,1
,,RAVET DAVID,LOYAL BERTRAND,S R ROCHELAISES,,,7,2
,,DUPONT JEAN BAPTISTE,VALLAUD CHRISTIAN,CVML,,,12,3
,,COMMEIL BERTRAND,BUAND THIERRY,Y C CARNAC,,,20,4
,,SCHULTZ HENDRIK,ZIEMS USE,C.N. VIRY CHATILLON,,,20,5
,,PERRAULT PATRICK,PERRAULT THOMAS,C.V.S.A.,,,25,6
,,CHAUSSADE ANNE CATHERINE,VASSOR ERIC,USAM Voile Brest,,,31,7
,,PUISSANT JEAN-GUY,CAMUSSON LAURENT,CV LAC 3 PROVINCES,,,33,8
,,SOULIER PIERRE,CORNU FRANCOIS,S R VANNES,,,35,9
,,ROBLIN LUDOVIC,SICHE NOE,S R ROCHELAISES,,,36,10
,,MERCIER GREGORY,VICTOR ANTOINE,C.N. VIRY CHATILLON,,,43,11
,,BOIRY MICHEL,LEMARIGNIER EMERIC,CV PARIS,,,54,12
,,AUBIN PASCAL,TRIHAN JEAN-MARC,C N PENESTIN,,,54,13
,,VINCHES GILBERT,null null,CVSQ,,,58,14
,,BUFFET MARCEL,LE MAUGUEN GAEL,CV PARIS,,,60,15
,,RIOT MARC,RIOT GEOFFREY,C.N. VIRY CHATILLON,,,73,16
,,DES JAMONIERES NICOLAS,ROMEFORT LUC,CVML,,,76,17
,,FISCHER FRANCOIS,DELVAUX JEROME,CV PARIS,,,80,DNA
,,TILLY GERARD,TILLY XAVIER,A.S.N. PERROS,,,80,DNA
