Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,2,1,2,1,6,,1
GER,8693,Michael Daisenberger,Michael Tarabochia,DTYC,1,2,1,2,6,,2
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,10,5,5,4,24,,3
GER,8719,Albrecht Maisch,Volker Böhringer,SGK,5,6,8,5,24,,4
GER,8518,Klaus Eifler,Nette Jansen,SCLW,6,4,7,DNC 13,30,,5
GER,8598,Fabian Martyson,Udo Wilters,SGR,7,7,4,7,25,,6
GER,8562,Wolfgang Seifert,Christian Voggeser,SCLW,DNC 13,DNC 13,3,3,32,,7
GER,8861,Hans-Otto Frisch,Jochen Heydolph,SCLW,3,3,DNC 13,DNC 13,32,,8
GER,8590,Jürgen Ziegler,Matthias Pfister,SCLW,8,8,6,8,30,,9
GER,8204,Ingo Schneider,Sebastian Hoering,SCLW,9,10,10,6,35,,10
GER,8666,Michael Kurzeja,Julius Jacoby,BYC,11,9,9,9,38,,11
GER,8670,Gerhard Engel,Renita Engel,YCSB,4,OCS 13,DNC 13,DNC 13,43,,12
