Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8720,"Dirk Filimonow","Lars Stöckmann",BSV,1,1,1,"DNC 16",19,,1
GER,8619,"Jens Findel","Johannes Tellen",KYC,2,2,3,1,8,,2
GER,8608,"Bernd Rasenack","Carl Riebe",ZSK,3,5,6,2,16,,3
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,4,3,4,3,14,,4
GER,8527,"Tim Steinert","Jens Steinert",ZSK,6,4,2,5,17,,5
GER,8675,"Volker Görge","Marlies Endjer",TSVS,5,6,7,4,22,,6
GER,8607,"Bernd Kowalzig","Ulrich Ellerbeck",SCBK,8,8,5,13,34,,7
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,10,7,8,8,33,,8
GER,8575,"Jürgen Waldheim","Bettina Dittemer",PYC,7,9,10,14,40,,9
GER,7539,"Wolfgang Thieschäfer","Elke Thieschäfer",YCZ,12,14,11,6,43,,10
GER,8441,"Rainer Gerdes","Ann Seidel",SSCK,13,10,15,7,45,,11
GER,8392,"Georg Mittermayer","Konrad Barop",LYC,14,12,9,10,45,,12
GER,8162,"Heiko Bühring","Heiko Haake",SCZ,9,11,12,12,44,,13
GER,8528,"Andre Tirre","Frank Wille",YCS,11,"DNF 16",13,9,49,,14
GER,8370,"Harry Brandt","Christian Barke",OSV,15,13,14,11,53,,15
