Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8531,"Michael Troch","Eckart König",SGJ,1,2,5,5,13,,1
GER,8505,"Adalbert Kluck","Gerhard Schmidt",TSVS,3,5,1,6,15,,2
GER,8527,"Tim Steinert","Jens Steinert",ZSK,5,1,11,4,21,,3
GER,8478,"Kai-Uwe Weiss","Axel Priegann",HSV,2,6,7,14,29,,4
GER,8222,"Jan Büscher","Nils Seeck",WYC,6,"DSQ 18",10,1,35,,5
GER,8500,"Robert Baumann","Dirk Kaiser",SSV,7,4,6,10,27,,6
GER,8730,"Jens Hufnagel","Tino Käcks",ScStM,4,3,14,"DNC 18",39,,7
GER,8433,"Jürgen Anton","Jürgen Wasceszio",HSC,8,"DNF 18",8,7,41,,8
GER,8675,"Karsten Morf","Heike Jansen",CKA,11,"DNC 18",3,11,43,,9
GER,8674,"Christian Niefert","Christian Faust",BSV,10,7,15,8,40,,10
GER,8758,"Jürgen Hatje","Iris Kunterwald",KYC,"DNC 18","DNC 18",2,3,41,,11
GER,8601,"Christian Koch","Lars Wrentzel",TSVS,"DSQ 18",8,16,2,44,,12
GER,8297,"Steve Kwee","Thorsten Spötter",HSC,12,9,13,9,43,,13
GER,8404,"Hans-Christian Schwieger","Waldemar Schönebeck",NRV,9,"DSQ 18",9,13,49,,14
GER,8155,"Tobias Kirsch","Jens Kirsch",SCRR,"DNC 18","DNF 18",4,"DNC 18",58,,15
GER,8071,"Elke Schott","Harald Schott",SVS,"DNC 18","DNC 18",12,15,63,,16
GER,7631,"Michael Kärgel","Christine Pöhl",SCE,"DNF 18","DNC 18",17,12,65,,17
