Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8670,"Martin Görge","Rainer Görge",TSVS,2,1,1,1,5,,1
GER,8671,"Joachim Hellmich","Christian Paschen",WYD,1,2,2,2,7,,2
GER,8725,"Sabine Meyer","Rolf Meyer",SCED,3,3,3,3,12,,3
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,9,4,6,9,28,,4
GER,8480,"Sven Hollenbeck","Björn Hollenbeck",WYCD,6,10,4,11,31,,5
GER,8751,"Markus Mühlbauer","Andre Fischer",DTYC,4,15,9,8,36,,6
GER,8570,"Till Supan","Gregor Dahlem",ETUF,5,6,10,10,31,,7
GER,8775,"Arnd Hover","Martin Hellmich",WYD,12,9,7,5,33,,8
GER,8155,"Tobias Kirsch","Jens Kirsch",SCRR,11,11,5,6,33,,9
GER,8441,"Rainer Gerdes","Johannes Tellen",SSCK,10,5,12,9,36,,10
GER,8530,"Alexander von Mertens","Sebastian Dörr",StSC,8,8,8,12,36,,11
GER,8721,"Martin Seikel","Norbert Becker",PSVK,7,14,14,7,42,,12
GER,7801,"Christiane Giefers","Jens Krause",SVPB,14,7,13,13,47,,13
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,15,13,11,14,53,,14
GER,8746,"Nicolai Völckner","Angela Stenger",HSC,13,12,"DNC 17","DNC 17",59,,15
GER,8320,"Felix Schliebitz","Björn Hackethal",WYD,16,16,"DNC 17","DNC 17",66,,16
