Nation,Boat NO,Helm,Crew,Helm Club,Race 1,Race 2,Race 3,Race 4,Crew Club,Points,Place
GER,8992,Lutz Stengel,Frank Feller,RYC,1,2,2,1,RYC,6,1
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,2,1,1,3,BSV,7,2
GER,8903,Steve Kwee,Thorsten Spotter,HSC,3,3,3,2,HSC,11,3
GER,9171,Stefan Giesler,Frank Bohm,VSaW,5,4,4,5,ENSFR,18,4
GER,8947,Ralf Schneidewind,Oliver Schurmann,SLRV,11,5,5,4,SLRV,25,5
GER,9021,Jens Biederer,Hendrik Annighofer,HSC,7,6,7,11,HSC,31,6
GER,8550,Martha Hauschild,Michael Heyder,SCSeddin,9,7,9,7,SCFrater,32,7
GER,8874,Henning Steffen,Dietrich Kirchner,SLRV,4,8,11,10,SVWu,33,8
GER,9057,Catrin Janssen,Jana Hiller,ZSK,6,11,8,8,ZSK,33,9
GER,8964,Iris Anton,Bruno Laudage,HSC,10,9,6,12,HSC,37,10
GER,8806,Anna Hauschild,Menge Katharina,Seddin,13,10,12,9,,44,11
GER,8135,Thorsten Posch,Christian Jansen,SCSz,12,12,10,13,SVBS,47,12
GER,8317,Christina Burger,Hartwig Friederichs,ZSK,8,DNF,DNS,6,WSCW,48,13
GER,8999,Rebecca Snedker,Frederik Burmester,SCRhe,14,DNF,DNS,DNF,SCRhe,65,14
GER,9059,Robert Neumann,Siri Linn Jensen,MSC,DNF,DNF,DNS,DNF,MSC,68,15
DEN,9121,Jens Olbrysch,Oliver Thies,HSC,DNF,DNF,DNS,DNS,HSC,68,15
