Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8580,Michael Seeger,Andreas Achterberg,DTYC,5,1,1,3,10,,1
GER,8901,Felix Röder,Wolfgang Stückl,DTYC,1,3,7,2,13,,2
GER,8693,Michael Daisenberger,Florian Lautenschläger,DTYC,2,2,3,4,11,,3
GER,8642,Thoralf Greger,Christoph Klein,ASVG,3,4,6,6,19,,4
GER,8463,Frieder Achterberg,Johannes Schmederer,DTYC,6,9,9,1,25,,5
GER,8507,Stephan Schweiger,Thorsten Koch,SCLW,7,8,5,5,25,,6
GER,8702,Martin Handel,Heike Winchenbach,SGK,9,13,2,7,31,,7
GER,8777,Nils Burghard,Francisco Sanguino,SCLW,4,5,13,17,39,,8
GER,8777,Robert Wisolek,David Farmer,SCLW,15,6,8,8,37,,9
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,14,10,4,16,44,,10
GER,8672,Karsten Contag,Guido von Walter,SCLW,12,7,12,9,40,,11
GER,8327,Dirk Frank,Stefan Kempf,SCS,8,12,11,10,41,,12
GER,8625,Falko Braun,Christoph Fuchs,,11,14,10,11,46,,13
GER,8861,Hans-Otto Frisch,Jochen Heydolph,SCLW,10,11,15,13,49,,14
GER,8530,Alexander von Mertens,Michael Denner,StSC,17,15,23,12,67,,15
GER,8518,Klaus Eifler,Thomas Thym,SCLW,13,16,16,15,60,,16
GER,8388,Peter Wolffram,Stephan Ottenschläger,,16,17,17,20,70,,17
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,19,19,20,14,72,,18
GER,8114,Gerhard Engel,Renita Engel,YCSB,21,21,14,18,74,,19
GER,8674,Kersten Weichborn,Pedro Bohnenberger,SCIA,18,18,19,21,76,,20
GER,8298,Andreas Roller,Maximilian Roller,Hei SC,20,22,21,19,82,,21
GER,8697,Wilfried Stuis,Benjamin Lasnier,YCN,22,20,22,22,86,,22
GER,8719,Albrecht Maisch,Frank Letsche,SGK,DNF 24,DNF 24,18,23,89,,23
