Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8806,"Lutz Stengel","Frank Feller",ROYC,3,1,1,1,6,,1
GER,8478,"Malte Christophersen","Sebastian Salein",KAR,2,2,2,2,8,,2
GER,8904,"Jan Forster","Marcus Neuß",SGaM,1,5,5,3,14,,3
GER,8531,"Michael Troch","Eckart König",SGJ,4,6,3,9,22,,4
GER,8825,"Armin Eismann","Tino Käcks",SCA,5,3,9,8,25,,5
GER,8675,"Volker Görge","Hartwig Friedrichs",TSVS,10,4,4,10,28,,6
GER,8843,"Nicolai Völckner","Lars Dehne",HSC,6,10,"OCS 20",4,40,,7
GER,8758,"Christian Maier-Kothe","Ole Rasschdorf",KYC,7,7,7,6,27,,8
GER,8433,"Jürgen Anton","Ulf Denecke",HSC,11,11,6,5,33,,9
GER,6816,"Andreas Jungclaus","Bruno Laudage",HSC,13,8,17,7,45,,10
GER,8550,"Martha Hauschild","Michael Heyder",SCS,8,14,8,14,44,,11
GER,8563,"Stefan Schmidt","Tim Mütze",SVSS,9,9,14,13,45,,12
GER,8720,"Lennart Tasche","Frederik Tasche",WSVG09,12,12,16,12,52,,13
GER,8798,"Mathias Konrad-Schmolke","Andreas Bering",SV03,14,13,13,11,51,,14
GER,8619,"Steve Kwee","Thorsten Spötter",HSC,15,15,10,16,56,,15
GER,7746,"Christian Lempp","Milan Plogsties",HSC,17,16,11,15,59,,16
GER,8730,"Karsten Stümpel","Enno Wilts",HSC,16,18,12,17,63,,17
GER,8282,"Max Rauner","Julia Rauner",SVTH,18,17,15,"DNC 20",70,,18
GER,7978,"Alexandra Wahler","Michael Kramer",,"DNC 20","DNC 20",18,18,76,,19
