Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8693,"Michael Daisenberger","Florian Lautenschläger",DTYC,1,5,1,"DSQ 21",28,,1
GER,8580,"Markus Mühlbauer","Andreas Achterberg",DTYC,1,6,4,1,12,,2
GER,8901,"Frieder Achterberg","Wolfgang Stückl",DTYC,4,2,2,"OCS 21",29,,3
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,3,4,3,2,12,,4
GER,8519,"Robert Wisolek","Timo Klapper",SCLW,5,3,8,5,21,,5
GER,8751,"Helen Fischer","Angela Stenger",BYC,6,7,5,3,21,,6
GER,8539,"Hendrik Schultz","Peter Scholz",SCLW,7,1,11,"OCS 21",40,,7
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,8,9,7,6,30,,8
GER,8672,"Karsten Contag","Guido von Walter",SCLW,12,8,6,10,36,,9
GER,8654,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,9,13,9,9,40,,10
GER,8642,"Thoralf Greger","Thorsten Koch",ASVG,19,11,10,7,47,,11
GER,8530,"Alexander von Mertens","Melanie Tschiche",StSC,11,10,12,15,48,,12
GER,7921,"Jochen Heydolph","Jürgen Wiesmeier",SCLW,10,16,14,12,52,,13
GER,8475,"Göran Berggren","Agnes Berggren",SCLW,15,15,15,8,53,,14
GER,8579,"Peter Wackerbauer","Claudia Opitz",RSB,14,12,17,16,59,,15
GER,8674,"Pedro Bohnenberger","Kersten Weichborn",SCIA,16,17,13,13,59,,16
GER,8719,"Albrecht Maisch","Frank Letsche",SGK,17,14,16,14,61,,17
GER,8769,"Nathalie Friedrich","Claudius Zeiler",SCLW,13,"DNF 21","DNC 21",11,66,,18
GER,8518,"Klaus Eifler","Thomas Thym",SCLW,"DNC 21","DNC 21","DNC 21",4,67,,19
GER,8527,"Hartmut Weiß","Thomas Beckert",SCLW,18,"DNF 21",18,17,74,,20
