Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8633,"Sophie Söllner","Wolfgang Stückl",CYC,1,1,8,1,11,,1
GER,8642,"Thoralf Greger","Tobias Quadfaß",ASVG,3,2,14,2,21,,2
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,8,3,3,5,19,,3
GER,8625,"Alex Cross","Falko Braun",SCR,4,5,5,3,17,,4
GER,8580,"Markus Mühlbauer","Andreas Achterberg",DTYC,2,7,6,7,22,,5
GER,8665,"Jens-Peter Schlomka","Mira Grättinger",TSVS,12,8,7,4,31,,6
GER,8621,"Stephan Schweiger","Dirk Müller",SCLW,7,4,9,9,29,,7
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,9,11,1,"DNC 23",44,,8
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,16,13,2,8,39,,9
GER,8751,"Angela Stenger","Micki Liebl",MYC,10,15,4,10,39,,10
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,5,6,13,13,37,,11
GER,8570,"Alexander Kodisch","Dominik Hafner",DTYC,11,17,12,6,46,,12
GER,8519,"Robert Wisolek","Timo Klapper",SCLW,13,10,10,"DNC 23",56,,13
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,14,9,15,11,49,,14
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,6,14,18,15,53,,15
GER,7930,"Christoph Hessel","Anette Hessel",YCU,15,12,11,"DNC 23",61,,16
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,17,16,17,14,64,,17
GER,8166,"Roland Boettcher","Gabi Boettcher",PSVK,19,18,19,12,68,,18
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,18,19,16,16,69,,19
GER,8204,"Guido von Walter","Christof Devenoges",SCLW,20,20,22,17,79,,20
GER,8210,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,21,21,20,19,81,,21
GER,8550,"Peter Wackerbauer","Stefan Rosinger",RSB,"DSQ 23",22,21,18,84,,22
