Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8633,"Sophie Söllner","Johannes Schmederer",CYC,1,1,2,3,7,,1
GER,8672,"Christian Kellner","Angela Stenger",HSC,4,2,1,1,8,,2
GER,8652,"Sebastian Dörr","Klaus Richter",HSC,3,8,3,4,18,,3
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,2,3,4,10,19,,4
GER,8642,"Thoralf Greger","Tobias Quadfaß",ASVG,5,4,12,2,23,,5
GER,8519,"Robert Wisolek","Wiebke Waldheim",SCLW,6,5,7,6,24,,6
GER,8562,"Wolfgang Seifert","Christian Voggeser",SCLW,11,7,6,5,29,,7
GER,8580,"Thomas Schmidt","Andreas Achterberg",DTYC,7,6,16,8,37,,8
GER,8665,"Jens-Peter Schlomka","Mira Grättinger",TSVS,13,12,5,9,39,,9
GER,8621,"Stephan Schweiger","Ines Berghof",SCLW,10,9,8,13,40,,10
GER,8375,"Thorsten Koch","Franziska Koch",SCLW,18,15,9,7,49,,11
GER,8691,"Günther Böckle","Frank Heimburger",SSCM,8,13,18,12,51,,12
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,9,17,10,16,52,,13
GER,8702,"Martin Handel","Christoph Fuchs",SGK,12,10,11,19,52,,14
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,15,21,13,15,64,,15
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,"DNF 26",11,19,11,67,,16
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,14,16,20,17,67,,17
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,16,19,15,18,68,,18
GER,8473,"Oliver Kraft","Andreas Goggel",SSCM,17,14,21,21,73,,19
GER,8518,"Klaus Eifler","Nils Burghard",SCLW,"DNC 26",18,17,14,75,,20
GER,8166,"Roland Boettcher","Gabi Boettcher",PSVK,20,22,14,20,76,,21
GER,7801,"Benjamin Grosskurth","Susanne Grosskurth",SCLW,19,20,23,"DNF 26",88,,22
GER,8204,"Guido von Walter","Teymour Taghavi",SCLW,21,23,22,"DNF 26",92,,23
GER,5919,"Robert Meitzner",Borchert,WAB,23,25,"DNC 26",22,96,,24
GER,8210,"Christian Pittack","Anne Fitzpatrick",SCLW,22,24,"DNC 26","DNC 26",98,,25
