Nation,Sail no,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Pos
USA,8714,Mike Martin,,Newport Harbor Yacht Club,2,1,1,3,1,8,1
USA,9002,Mike Holt,,Santa Cruz YC,1,2,4,1,3,11,2
USA,7875,Jeff Miller,,SCYC,5,3,2,2,5,17,3
USA,9009,Bruce Edwards,,StFYC,4,6,7,4,2,23,4
USA,8266,Paul Allen,,SCYC,3,5,3,6,8,25,5
USA,7156,Aaron Ross,,SCYC,8,7,8,8,7,38,6
USA,8937,Tim Murphy,,Treasure Island,10,8,6,9,9,42,7
USA,8829,Eben Russell,,none,6,14/DNF,14/DNF,7,6,47,8
USA,7611,Justin Shaffer,,American Yacht Club,7,4,9,14/DNS,14/DNS,48,9
USA,9042,JB Turney,,Washington Sailing Marina,14/DNC,14/DNC,14/DNC,5,4,51T,10
USA,8841,Holt Condon,,St Francis YC,14/DNF,10,5,10,12,51T,11
USA,7069,Christopher O'Leary,,"b,Y,C  ",11,9,10,11,10,51T,12
USA,8967,Philippe Kahn,,SCYC,9,11,11,14/DNS,11,56,13
