,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8365,Peter Knauf,Sven Meding,SCR,1,3,2,1,,1
GER,9046,Hartwig Friedrichs,Martin Bernauer,WSCW,2,1,1,2,,2
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,3,2,3,4,,3
GER,8550,Martha Hauschild,Franzi Manko,SCS,4,5,4,6,,4
GER,9000,Enno Wilts,Axel Priegann,SVBB,7,6,5,3,,5
GER,6817,Ralf Schneidewind,Jannis Grimm,KSC,5,4,6,5,,6
GER,8721,Daniel Czeninga,Martin Lietz,FSV 03 eV,6,9,7,7,,7
GER,7946,Jens Friedrich,Lars Lippmann,,9,7,8,8,,8
GER,7861,Katharina Menge,Doreen Jäschke,OSG,8,8,9,9,,9
