,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,9011,Michael Daisenberger,Maxi Daisenberger,DTYC,2,2,5,,9,1
GER,8807,Maximilian Weiß,Jonas Vogt,DTYC,5,3,2,,10,2
GER,8725,Johannes Berggren,Berggren Katharina,SCLW,1,7,4,,12,3
GER,8903,Stephan Schweiger,Thorsten Koch,SCLW,6,5,1,,12,4
GER,8672,Karsten Contag,Guido von Walter,SCLW,7,4,3,,14,5
GER,8901,Christina Höll,Wolfgang Stückl,HSC,8,6,6,,20,6
GER,8669,Daniel Winkel,Christian Winkel,YCSB,3,10,9,,22,7
GER,8642,Thoralf Greger,Nils Burghard,ASVG,11,1,11,,23,8
GER,8849,Moritz Bohnenberger,Anna Follman,DTYC,10,8,8,,26,9
GER,8598,Anna Höll,Bernd Heinisch,,13,12,7,,32,10
GER,8861,Wolfgang Seifert,Peter Daferner,SCLW,9,13,10,,32,11
GER,8279,Michael Becker,Florian Hassdenteufel,SCNS,12,9,13,,34,12
GER,8562,Jochen Heydolph,Fabian Martyson,SCLW,14,11,12,,37,13
GER,8928,Hendrik Schultz,Ute Oberländer,SCLW,4,DNC,DNC,,38,14
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,16,DNC,14,,47,15
GER,8697,Wilfried Stuis,Peter Quellmalz,YCN,15,DNC,15,,47,16
