,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Sum,Points,Platz
GER,9152,Wolfgang Hunger,Holger Jess,PYC,1,1,1,1,1,[DNC 12],17,5,1
DEN,9128,Martin Frederichsen,Henrik Buhl,ASK,2,[9],5,4,2,1,23,14,2
GBR,9079,Jesper Bülow,Søren Asboe Jørgensen,,4,[7],4,5,3,2,25,18,3
GER,9146,Leonie Meyer,Rolf Meyer,,5,2,2,2,[DNC 12],DNC 12,35,23,4
GER,8669,Jan-Philipp Hofmann,Felix Brockerhoff,DY,3,3,3,3,[DNC 12],DNC 12,36,24,5
GER,9020,Jörn Wille,Martin Bergmann,MSC,6,4,6,6,[DNC 12],DNC 12,46,34,6
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,SoSe,7,11,8,[DNF 12],DNC 12,3,53,41,7
GER,8458,Robert Bautz,Sascha Spors,ASVR,10,5,7,9,[DNC 12],DNC 12,55,43,8
GER,8750,Peter Kruse,Arne Wittemer,SCH,9,8,9,7,[DNC 12],DNC 12,57,45,9
GER,9057,Catrin Janssen,Jana Hiller,ZSK,8,6,[DNC 12],8,DNC 12,DNC 12,58,46,10
GER,8934,Frank Beier,Hubertus Ritter,SCLM,11,10,10,[DNC 12],DNC 12,DNC 12,67,55,11
