,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,8928,Stephan Schweiger,Thorsten Koch,SCLW,1,1,1,1,,1
GER,9100,Hendrik Schultz,Ute Oberländer,SCLW,2,3,2,4,,2
GER,9023,Max Eisenrieder,Dirk Penno,YCaT,6,5,4,2,,3
GER,8849,Pedro Bohnenberger,Peter Wolffram,SCIA,3,2,7,7,,4
GER,8579,Peter Wackerbauer,Claudia Opitz,RSB,7,7,5,3,,5
GER,9114,Mats Westholm,Thomas Fox,SCLW,10,6,3,6,,6
GER,8861,Wolfgang Seifert,Jochen Heydolph,SCLW,5,DNF,6,8,,7
GER,8769,Nathalie Friedrich,Claudius Zeiler,SCLW,11,4,DSQ,5,,8
GER,8672,Dirk Hütten,Guido von Walter,,8,10,9,11,,9
GER,8693,Achim Funk,Jim Lindquist,SCLW,12,9,10,10,,10
GER,8998,Ingo Schneider,Sebastian Hoering,SCLW,14,11,8,9,,11
GER,8777,Thoralf Greger,Francisco Sanguino,ASVG,4,8,DNF,14,,12
GER,6610,Stefan Krumm,Uwe Krumm,SSCM,13,12,12,13,,13
GER,8527,Hartmut Weiß,Nikolaus Witty,SCLW,9,13,DSQ,12,,14
GER,8590,Jürgen Ziegler,Matthias Pfister,SCLW,16,14,11,DNF,,15
GER,8229,Hannes Obermeyer,Karin Bischler,RKCW,15,15,DNF,15,,16
