,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,Platz
GER,9146,Jens Findel,Johannes Tellen,KYC,2,5,3,,10,1
GER,9112,Morten Bogacki,Lars Dehne,DYC,3,2,7,,12,2
GER,9062,Jens Olbrysch,Oliver Thies,HSC,1,7,5,,13,3
GER,8929,Kai Bertallot,Jan Reifferscheidt,FSC,3,1,11,,15,4
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,5,11,1,,17,5
GER,8519,Thure Gnadberg,Aron Tellen,BSV,10,6,4,,20,6
GER,8929,Paul Meyer,Rolf Meyer,SCED,6,4,10,,20,7
GER,8903,Steve Kwee,Thorsten Spötter,HSC,7,9,9,,25,8
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,14,10,2,,26,9
GER,9113,Sophie Söllner,Karsten Stümpel,CYC,11,3,13,,27,10
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,8,8,12,,28,11
GER,9040,Norbert Dasenbrook,Sven Meier,KSW,12,13,6,,31,12
GER,8875,Nicola Birkner,Angela Stenger,SVaW,9,17,8,,34,13
GER,8915,Davina Schlesiger,Marvin Schlesiger,MSC,13,14,14,,41,14
GER,8991,Jürgen Waldheim,Robert Bussenius,PYC,15,15,16,,46,15
GER,8750,Peter Kruse,Arne Wittemer,SCH,17,16,15,,48,16
GER,9046,Hartwig Friedrichs,Antje Gosch,WSCW,16,12,DNC 23,,51,17
GER,8932,Christian Henge,Katja Henge,OSG,20,18,17,,55,18
GER,8712,Stefan Krumm,Uwe Krumm,SSCM,22,22,18,,62,19
GER,8901,Andre Tirre,Frank Wille,YCS,19,19,DNC 23,,61,20
GER,8505,Peter Wichtrap,Mario Tirre,,18,21,DNC 23,,62,21
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,21,20,DNC 23,,64,22
