Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Points Total,Points Netto,Place
FRA,,Th. de Chalvron,René Morch,,1,2,3,3,1
FRA,4815,Philippe Blanchard,Blanchard,,6,1,"11,7","11,7",2
FRA,4279,Alain Doloy,Lazennec,,3,3,"13,7","13,7",3
FRA,4459,Bernard Claudel,Alain Claudel,,2,10,19,19,4
FRA,,Bugeaud,Caillet,,4,6,"19,7","19,7",5
FRA,,Balmas,Balmas,,10,4,"20,7","20,7",6
SUI,4819,Lucien Keller,Edouard Kessi,,,,27,27,7
FRA,4632,Bernard Reynier,François Dury,,,,28,28,8
FRA,,Christian Maréchal,André Gerbet,,,,30,30,9
SUI,,Pierre Fehlmann,Pasche,,16,5,32,32,10
FRA,,Pfaadt,Ziegelmeyer,,,,33,33,11
FRA,,Gaillard,Peyramond,,,,34,34,12
FRA,,Charrot,Burgat,,,,39,39,13
FRA,,Gilbert Vinches,François Padovani,,,,40,40,14
FRA,,Naville,Rillet,,,,40,40,15
FRA,,Duhamel,Gloahec,,,,43,43,16
FRA,4513,Claude Fixot,Charly Hadfield,,,,43,43,17
FRA,,Grevis,Schmidt,,,,48,48,18
FRA,4891,F. Souvestre,Palfer,,,,53,53,19
FRA,,Robert Leibovitch,Illi,,,,56,56,20
FRA,,Mehl,Christian Gindre,,,,57,57,21
FRA,,Grossmann,Clernet,,,,58,58,22
FRA,,Chovelon,Maurel,,,,58,58,23
FRA,,Desmesmay,Gay,,,,58,58,24
FRA,,Garcia,Vieux,,,,59,59,25
FRA,,Froment,Malinvaud,,,,61,61,26
FRA,,Cheruy,Chatelard,,,,61,61,27
